;Lançamentos;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;Verificação;Data Lançamento;Tipo Lançamento;Codigo Custo;Banco/ Conta;Numero OP/ NF;Boleto;Fornecedor/ Cliente;Nº Cheque; Valor ;Data Vencimento; Observações; Valor Real ; Saldo ; DRE ; Centro de Custo ;Tipo;Data Real;Antecipação;Pagamento;Ano;Mês;Custo;Mês Lanç.;Ano Lanç.
;Sim;06/01/2026;Terceiros MO;4.204;Itau 84170 L;1315;1315/u;Antonio Marques;; R$2.730,00 ;06/01/2026;MLV02 - 3.900 peças - Mercado Lives - R$ 0,70 cd; R$2.730,00 ; R$523.484,06 ;Custo Produto (CMV);;Saida;06/01/2026;0;Não;2026;1;Não;1;2026
;Sim;01/12/2025;Faturamento;;Itau 84170 L;8497;8497/4;Bentomar;; R$1.206,02 ;06/01/2026;; R$1.206,02 ; R$523.484,06 ;Faturamento/ Receita;;Entrada;06/01/2026;0;Não;2025;12;Não;12;2025
;Sim;15/12/2025;Faturamento;;Itau 84170 L;8516;8516/2;Bentomar;; R$3.756,19 ;06/01/2026;; R$3.756,19 ; R$523.484,06 ;Faturamento/ Receita;;Entrada;06/01/2026;0;Não;2025;12;Não;12;2025
;Sim;06/01/2026;Despesas Empresariais;3.100;Itau 84170 L;;;Elektro ;; R$235,78 ;06/01/2026;Barracão 64B ; R$235,78 ; R$523.484,06 ;Outras;OCUPAÇÃO;Saida;06/01/2026;0;Sim;2026;1;Sim;1;2026
;Sim;01/12/2025;Faturamento;;Itau 84170 L;8496;8496/u;Mineração Curimbaba;; R$56.027,37 ;06/01/2026;; R$56.027,37 ; R$523.484,06 ;Faturamento/ Receita;;Entrada;06/01/2026;0;Não;2025;12;Não;12;2025
;Sim;07/11/2025;Materia-prima;7.100;Itau 84170 L;49530;49530/3;Rafitec;; R$21.112,00 ;06/01/2026;; R$21.112,00 ; R$523.484,06 ;Custo Produto (CMV);TECIDOS;Saida;06/01/2026;0;Não;2025;11;Não;11;2025
;Sim;04/09/2025;Faturamento;;Itau 84170 L;8381;8381/u;Shinagawa;; R$27.077,52 ;06/01/2026;; R$27.077,52 ; R$523.484,06 ;Faturamento/ Receita;;Entrada;06/01/2026;0;Não;2025;9;Não;9;2025
;Sim;08/12/2025;Faturamento;;Itau 84170 L;8502;8502/1;Soyamill;; R$25.166,67 ;06/01/2026;; R$25.166,67 ; R$523.484,06 ;Faturamento/ Receita;;Entrada;06/01/2026;0;Não;2025;12;Não;12;2025
;Sim;02/12/2025;Materia-prima;7.100;Itau 84170 L;146451;146451/1;Textil Oeste;; R$10.483,60 ;06/01/2026;; R$10.483,60 ; R$523.484,06 ;Custo Produto (CMV);TECIDOS;Saida;06/01/2026;0;Não;2025;12;Não;12;2025
;Sim;01/12/2025;Folha de pagamento Adm.;2.301;Itau 84170 L;;;Pagamento Salário Adm.;; R$2.105,00 ;07/01/2026;Ref. 12/2025; R$2.105,00 ; R$511.343,62 ;Folha Adm + Salarios socios;SALARIOS;Saida;07/01/2026;0;Não;2025;12;Não;12;2025
;Sim;01/12/2025;Salarios;4.202;Itau 84170 L;;;Pagamento Salário Corte;; R$4.620,00 ;07/01/2026;Ref. 12/2025; R$4.620,00 ; R$511.343,62 ;Custo Produto (CMV);MÃO DE OBRA CORTE;Saida;07/01/2026;0;Não;2025;12;Não;12;2025
;Sim;01/12/2025;Salarios;4.203;Itau 84170 L;;;Premiação Corte;; R$30,00 ;07/01/2026;Ref. 12/2025; R$30,00 ; R$511.343,62 ;Custo Produto (CMV);PREMIAÇÃO CORTE;Saida;07/01/2026;0;Não;2025;12;Não;12;2025
;Sim;06/11/2025;Manutenção Maquina;6.200;Itau 84170 L;655466;655466/2;Cavemac;; R$1.553,07 ;07/01/2026;; R$1.553,07 ; R$511.343,62 ;Outras;MAQUINAS/ EQUIPAMENTOS;Saida;07/01/2026;0;Sim;2026;1;Sim;11;2025
;Sim;05/01/2026;Terceiros;3.400;Itau 84170 L;4;4/u;Cooperativa Copertru;; R$2.444,40 ;07/01/2026;Pix: 03.811.496/0001-71; R$2.444,40 ; R$511.343,62 ;Outras;TERCEIROS;Saida;07/01/2026;0;Sim;2026;1;Sim;1;2026
;Sim;24/10/2025;Manutenção de veiculos;6.300;Itau 84170 L;194167;194167/4;Morecap Pneus;; R$605,52 ;07/01/2026;; R$605,52 ; R$511.343,62 ;Outras;VEICULOS MANUT;Saida;07/01/2026;0;Sim;2026;1;Sim;10;2025
